,Epochs,Batch Size,Learning Rate,Accuracy,train_losses,train_counter,test_losses,test_counter
0,3,32,0.01,tensor(81.8800),"[2.3311424255371094, 2.287510395050049, 2.2955234050750732, 2.29598069190979, 2.264526128768921, 2.1976144313812256, 2.278848171234131, 2.1057655811309814, 2.1598033905029297, 2.0135529041290283, 2.1143674850463867, 1.9558144807815552, 1.8658236265182495, 1.7490880489349365, 1.792805552482605, 1.673681616783142, 1.4594236612319946, 1.4851633310317993, 1.3905025720596313, 1.2747136354446411, 1.4102189540863037, 1.3308334350585938, 1.2188704013824463, 1.3522707223892212, 1.3831359148025513, 1.356105923652649, 1.392087459564209, 1.3016421794891357, 1.23567533493042, 1.6335046291351318, 0.9145355820655823, 1.4125081300735474, 1.389307975769043, 1.5369468927383423, 1.3518805503845215, 1.0628812313079834, 1.5357985496520996, 1.2070521116256714, 1.3019131422042847, 1.3406392335891724, 1.2999845743179321, 1.1605730056762695, 0.904929518699646, 1.0576170682907104, 1.1487518548965454, 1.1365118026733398, 1.0043070316314697, 1.1451467275619507, 1.0766733884811401, 1.222764015197754, 0.8651511073112488, 1.107025384902954, 1.0619337558746338, 1.236421823501587, 1.1805753707885742, 1.1376097202301025, 1.0674233436584473, 1.058925747871399, 0.7117193937301636, 0.8658785820007324, 1.1457117795944214, 0.9810212254524231, 0.9432878494262695, 1.4693057537078857, 0.8892614245414734, 0.9270420670509338, 0.9903875589370728, 1.1459500789642334, 0.7758512496948242, 1.0595706701278687, 1.1476422548294067, 0.8086709380149841, 1.1056618690490723, 1.0467653274536133, 1.139211654663086, 1.4041177034378052, 1.04909348487854, 1.2182676792144775, 1.0534403324127197, 0.7131307721138, 0.7464248538017273, 0.8798390626907349, 1.0335876941680908, 0.8313677906990051, 0.9409967064857483, 0.8240829110145569, 0.7746074199676514, 1.018459677696228, 1.0716807842254639, 1.000132441520691, 1.0869492292404175, 0.8922040462493896, 0.6817052960395813, 0.9871348738670349, 0.9658179879188538, 0.6049649119377136, 0.8573564291000366, 0.8332584500312805, 1.0697331428527832, 0.8188604712486267, 0.6148499250411987, 0.9624125957489014, 1.0928882360458374, 0.8729471564292908, 0.9078379273414612, 0.5588707327842712, 1.2314319610595703, 0.7660955786705017, 0.7913453578948975, 0.9979250431060791, 0.8237850666046143, 0.8435603976249695, 1.1567387580871582, 1.1059215068817139, 0.9659276008605957, 1.1762975454330444, 0.6961269378662109, 0.9355030655860901, 1.0556763410568237, 0.7695121765136719, 0.768687903881073, 0.5643487572669983, 0.6093029975891113, 0.6353653073310852, 1.0707263946533203, 0.8859907388687134, 0.6246512532234192, 0.7558817863464355, 0.8882158398628235, 0.6986541152000427, 0.7532663345336914, 0.9678748250007629, 0.6184936761856079, 0.8906924724578857, 1.0658459663391113, 0.9657295346260071, 0.883830726146698, 0.7926372289657593, 0.722730278968811, 0.8611145615577698, 0.7021062970161438, 0.9889535903930664, 0.9063835144042969, 1.1665563583374023, 0.7150294780731201, 1.0395199060440063, 0.5470913648605347, 0.8306444883346558, 0.6903108358383179, 1.037084937095642, 0.746897280216217, 0.9380336999893188, 0.7908822894096375, 0.890874445438385, 0.6693348288536072, 0.7920347452163696, 0.9375841617584229, 0.8452310562133789, 0.7633596658706665, 0.9626129269599915, 0.8209514021873474, 0.8623951077461243, 0.7904651761054993, 0.6859843730926514, 0.7210515141487122, 0.8290657997131348, 1.2346144914627075, 0.8102450370788574, 0.8402196168899536, 1.0729426145553589, 0.926220715045929, 0.787590503692627, 0.9057223200798035, 0.6232693195343018, 0.8214863538742065, 0.6760957837104797, 0.6989172697067261, 0.7317955493927002, 0.5459210872650146, 1.1474398374557495, 0.7084865570068359, 0.7473101615905762, 0.7974275946617126, 0.6812189221382141, 0.8619047999382019, 0.8879854083061218, 0.6325917840003967, 1.183372974395752, 0.5620395541191101, 1.1990612745285034, 0.729872465133667, 0.7605993747711182, 0.809220016002655, 0.5585559010505676, 0.5931236743927002, 0.8048916459083557, 0.79230135679245, 0.7810181379318237, 0.683567225933075, 0.7425557971000671, 0.6374309659004211, 0.8974676132202148, 0.501882791519165, 0.9289522171020508, 0.8148191571235657, 0.7040742039680481, 0.6972962617874146, 0.7207226157188416, 0.7105822563171387, 0.779780924320221, 0.9278472065925598, 0.9064230918884277, 0.6832169890403748, 0.6824934482574463, 0.974420428276062, 0.7838439345359802, 0.8012723922729492, 0.8053049445152283, 0.672218382358551, 0.9351180791854858, 0.49894821643829346, 0.821652352809906, 0.5454844832420349, 1.0041065216064453, 0.8430971503257751, 0.9192293882369995, 0.6886166930198669, 1.0720419883728027, 0.675818920135498, 0.7543140649795532, 1.0101052522659302, 0.7606199979782104, 0.7069427967071533, 1.1153372526168823, 0.7313300371170044, 0.6883659958839417, 0.7185255289077759, 0.7871835231781006, 0.7810351252555847, 0.8048266172409058, 0.7643415331840515, 0.7322556972503662, 1.1627843379974365, 1.0752366781234741, 0.5332320928573608, 0.6447106003761292, 0.5810695886611938, 0.8758221864700317, 0.6698741316795349, 0.6833067536354065, 0.7006883025169373, 0.7815943360328674, 0.5953447818756104, 0.6236067414283752, 0.7744707465171814, 0.6260432600975037, 0.8215839862823486, 0.8444175720214844, 0.8576270937919617, 0.6112689971923828, 1.0040655136108398, 0.4818779528141022, 0.6129913926124573, 0.926474928855896, 0.837361752986908, 0.7159223556518555, 0.6224731802940369, 0.4548698365688324, 0.5693907737731934, 0.747837483882904, 0.508799135684967, 0.5441192388534546, 0.9416459798812866, 0.6238141059875488, 0.5429551005363464, 0.7298913598060608, 0.7045036554336548, 0.7005850076675415, 0.8136966228485107, 0.4761618673801422, 0.7515518665313721, 0.49477890133857727, 0.5827676057815552, 0.3516501486301422, 0.6699727177619934, 0.747400164604187, 0.8827024102210999, 0.7707929611206055, 0.702783465385437, 0.8117789030075073, 0.6430802941322327, 0.7115591168403625, 1.067122459411621, 0.6487355828285217, 0.6115247011184692, 0.8414724469184875, 0.7233161330223083, 0.508053183555603, 0.59903484582901, 0.6926766633987427, 1.020372748374939, 0.6331018209457397, 0.5462612509727478, 0.6292917132377625, 0.6243211030960083, 0.7703520059585571, 0.6157620549201965, 0.9330319166183472, 0.5078667998313904, 0.6323980093002319, 0.577355146408081, 1.0639309883117676, 0.5992165207862854, 0.749149739742279, 0.5534903407096863, 0.6509648561477661, 0.6769514679908752, 0.5161999464035034, 0.5144171714782715, 1.1454317569732666, 0.8622249960899353, 0.5254306793212891, 0.6030323505401611, 1.023866057395935, 0.6973652839660645, 0.6930310726165771, 0.6854436993598938, 0.7155444622039795, 0.9047187566757202, 0.730036199092865, 0.5212750434875488, 0.4588148295879364, 0.8796340823173523, 0.4583131968975067, 0.7531203031539917, 0.463817834854126, 1.2211991548538208, 0.44799816608428955, 0.7870794534683228, 1.1618181467056274, 0.6558995842933655, 1.0513832569122314, 0.873436689376831, 0.3672935962677002, 0.4532735347747803, 0.4921448230743408, 0.7361739277839661, 0.6146101355552673, 0.4283294081687927, 0.4579492211341858, 0.6022364497184753, 0.4429567754268646, 0.6663965582847595, 0.5874258875846863, 0.783634603023529, 0.6689037680625916, 0.5331721305847168, 0.5913676023483276, 0.674616277217865, 0.4474549889564514, 0.5174898505210876, 0.5098254680633545, 0.7791833281517029, 0.6387186646461487, 0.4833698868751526, 0.6505813002586365, 0.5735933184623718, 0.42277154326438904, 0.6218423247337341, 0.3230372667312622, 0.8433862924575806, 0.8920175433158875, 0.6390251517295837, 0.5360077619552612, 0.6326140761375427, 0.633320152759552, 0.7903832793235779, 0.6030510663986206, 0.7346951961517334, 0.5255049467086792, 0.6460996866226196, 0.5344087481498718, 0.8183946013450623, 0.4384433329105377, 0.6309741735458374, 0.7060177326202393, 0.7562800645828247, 0.6368340253829956, 0.38259920477867126, 0.561970055103302, 0.4901070296764374, 0.5972176194190979, 0.5198176503181458, 0.523993730545044, 0.4017080068588257, 0.650528609752655, 0.8694021701812744, 0.5448788404464722, 0.4120675325393677, 0.7115041613578796, 0.48650893568992615, 0.8302366137504578, 0.7460129261016846, 0.698822021484375, 0.9140021204948425, 0.4427761733531952, 0.5600711107254028, 0.782414436340332, 0.6467534899711609, 0.6433335542678833, 0.7641248106956482, 0.7873439192771912, 0.7170069217681885, 0.6105573773384094, 0.5403580069541931, 0.39183640480041504, 0.873153030872345, 0.877391517162323, 0.5847963094711304, 0.6315609216690063, 0.7045019268989563, 0.5619877576828003, 0.5260708928108215, 0.4763227701187134, 0.6286357641220093, 0.4510631561279297, 0.5701972842216492, 0.6463821530342102, 0.7171905040740967, 0.9783976078033447, 0.7236659526824951, 0.7890999913215637, 0.7431885004043579, 0.6318349838256836, 0.6076004505157471, 0.9232886433601379, 0.5642019510269165, 0.516647219657898, 0.40602266788482666, 0.5292384028434753, 0.2785221040248871, 0.5250658392906189, 0.8940128684043884, 0.47653692960739136, 0.5781423449516296, 0.7648569345474243, 0.49966636300086975, 0.5858660340309143, 0.5395305752754211, 0.5375504493713379, 0.703917384147644, 0.6019485592842102, 0.6686624884605408, 0.5149233341217041, 0.49798861145973206, 0.5849270224571228, 0.6816567182540894, 1.0356864929199219, 0.38594284653663635, 0.7229324579238892, 0.39379948377609253, 0.5447543859481812, 0.7784150242805481, 0.8332496285438538, 0.365605890750885, 0.7238126993179321, 0.5641404390335083, 0.3699456751346588, 0.6296973824501038, 0.517810583114624, 0.4015340209007263, 0.6403731107711792, 0.627232551574707, 0.5627743601799011, 0.5892694592475891, 0.6439946293830872, 0.9637182950973511, 0.38753679394721985, 0.6883293390274048, 0.8414356708526611, 0.728181004524231, 0.4741798937320709, 0.6216116547584534, 0.8395758271217346, 0.666733980178833, 0.8017083406448364, 0.6333693265914917, 0.31132611632347107, 0.38677847385406494, 0.6758626699447632, 0.837661623954773, 0.6444806456565857, 0.49710553884506226, 0.7941237092018127, 0.4335346519947052, 0.5296106934547424, 0.5725672841072083, 0.6154137849807739, 0.5471400618553162, 0.5427735447883606, 0.6999984979629517, 0.8273264765739441, 0.4970162510871887, 0.4087350368499756, 0.48152053356170654, 0.7590180039405823, 0.49191784858703613, 0.40184345841407776, 0.4032658338546753, 0.5011431574821472, 0.8082761764526367, 0.8011718392372131, 0.3258189857006073, 0.40362635254859924, 0.3294430375099182, 1.08420991897583, 0.5943934917449951, 0.5569659471511841, 0.7568134069442749, 0.27053993940353394, 0.6104190349578857, 0.7012489438056946, 0.7202735543251038, 0.6813480854034424, 0.6713958978652954, 0.7136254906654358, 0.6675304174423218, 0.48400169610977173, 0.31669819355010986, 1.0671862363815308, 0.359504759311676, 0.6459052562713623, 0.31969889998435974, 0.5616152286529541, 0.800324559211731, 0.5453135371208191, 0.7456123232841492, 0.9453191757202148, 0.8757196664810181, 0.41772884130477905, 0.5896392464637756, 0.7717894911766052, 0.4523531496524811, 0.6989250779151917, 0.38079583644866943, 0.6151666641235352, 0.6044599413871765, 0.5131152272224426, 1.1427842378616333, 0.6033124923706055, 0.6844210028648376, 0.4069661498069763, 0.5882322192192078, 0.7025538086891174, 0.6894552111625671, 0.4114789366722107, 0.6764379739761353, 0.871675968170166, 0.674044132232666, 0.8271466493606567, 0.2575407326221466, 0.3704739511013031, 0.6493446230888367, 0.487918496131897]","[0, 640, 1280, 1920, 2560, 3200, 3840, 4480, 5120, 5760, 6400, 7040, 7680, 8320, 8960, 9600, 10240, 10880, 11520, 12160, 12800, 13440, 14080, 14720, 15360, 16000, 16640, 17280, 17920, 18560, 19200, 19840, 20480, 21120, 21760, 22400, 23040, 23680, 24320, 24960, 25600, 26240, 26880, 27520, 28160, 28800, 29440, 30080, 30720, 31360, 32000, 32640, 33280, 33920, 34560, 35200, 35840, 36480, 37120, 37760, 38400, 39040, 39680, 40320, 40960, 41600, 42240, 42880, 43520, 44160, 44800, 45440, 46080, 46720, 47360, 48000, 48640, 49280, 49920, 50560, 51200, 51840, 52480, 53120, 53760, 54400, 55040, 55680, 56320, 56960, 57600, 58240, 58880, 59520, 60160, 60800, 61440, 62080, 62720, 63360, 64000, 64640, 65280, 65920, 66560, 67200, 67840, 68480, 69120, 69760, 70400, 71040, 71680, 72320, 72960, 73600, 74240, 74880, 75520, 76160, 76800, 77440, 78080, 78720, 79360, 80000, 80640, 81280, 81920, 82560, 83200, 83840, 84480, 85120, 85760, 86400, 87040, 87680, 88320, 88960, 89600, 90240, 90880, 91520, 92160, 92800, 93440, 94080, 94720, 95360, 96000, 96640, 97280, 97920, 98560, 99200, 99840, 100480, 101120, 101760, 102400, 103040, 103680, 104320, 104960, 105600, 106240, 106880, 107520, 108160, 108800, 109440, 110080, 110720, 111360, 112000, 112640, 113280, 113920, 114560, 115200, 115840, 116480, 117120, 117760, 118400, 119040, 119680, 60000, 60640, 61280, 61920, 62560, 63200, 63840, 64480, 65120, 65760, 66400, 67040, 67680, 68320, 68960, 69600, 70240, 70880, 71520, 72160, 72800, 73440, 74080, 74720, 75360, 76000, 76640, 77280, 77920, 78560, 79200, 79840, 80480, 81120, 81760, 82400, 83040, 83680, 84320, 84960, 85600, 86240, 86880, 87520, 88160, 88800, 89440, 90080, 90720, 91360, 92000, 92640, 93280, 93920, 94560, 95200, 95840, 96480, 97120, 97760, 98400, 99040, 99680, 100320, 100960, 101600, 102240, 102880, 103520, 104160, 104800, 105440, 106080, 106720, 107360, 108000, 108640, 109280, 109920, 110560, 111200, 111840, 112480, 113120, 113760, 114400, 115040, 115680, 116320, 116960, 117600, 118240, 118880, 119520, 120160, 120800, 121440, 122080, 122720, 123360, 124000, 124640, 125280, 125920, 126560, 127200, 127840, 128480, 129120, 129760, 130400, 131040, 131680, 132320, 132960, 133600, 134240, 134880, 135520, 136160, 136800, 137440, 138080, 138720, 139360, 140000, 140640, 141280, 141920, 142560, 143200, 143840, 144480, 145120, 145760, 146400, 147040, 147680, 148320, 148960, 149600, 150240, 150880, 151520, 152160, 152800, 153440, 154080, 154720, 155360, 156000, 156640, 157280, 157920, 158560, 159200, 159840, 160480, 161120, 161760, 162400, 163040, 163680, 164320, 164960, 165600, 166240, 166880, 167520, 168160, 168800, 169440, 170080, 170720, 171360, 172000, 172640, 173280, 173920, 174560, 175200, 175840, 176480, 177120, 177760, 178400, 179040, 179680, 120000, 120640, 121280, 121920, 122560, 123200, 123840, 124480, 125120, 125760, 126400, 127040, 127680, 128320, 128960, 129600, 130240, 130880, 131520, 132160, 132800, 133440, 134080, 134720, 135360, 136000, 136640, 137280, 137920, 138560, 139200, 139840, 140480, 141120, 141760, 142400, 143040, 143680, 144320, 144960, 145600, 146240, 146880, 147520, 148160, 148800, 149440, 150080, 150720, 151360, 152000, 152640, 153280, 153920, 154560, 155200, 155840, 156480, 157120, 157760, 158400, 159040, 159680, 160320, 160960, 161600, 162240, 162880, 163520, 164160, 164800, 165440, 166080, 166720, 167360, 168000, 168640, 169280, 169920, 170560, 171200, 171840, 172480, 173120, 173760, 174400, 175040, 175680, 176320, 176960, 177600, 178240, 178880, 179520, 180160, 180800, 181440, 182080, 182720, 183360, 184000, 184640, 185280, 185920, 186560, 187200, 187840, 188480, 189120, 189760, 190400, 191040, 191680, 192320, 192960, 193600, 194240, 194880, 195520, 196160, 196800, 197440, 198080, 198720, 199360, 200000, 200640, 201280, 201920, 202560, 203200, 203840, 204480, 205120, 205760, 206400, 207040, 207680, 208320, 208960, 209600, 210240, 210880, 211520, 212160, 212800, 213440, 214080, 214720, 215360, 216000, 216640, 217280, 217920, 218560, 219200, 219840, 220480, 221120, 221760, 222400, 223040, 223680, 224320, 224960, 225600, 226240, 226880, 227520, 228160, 228800, 229440, 230080, 230720, 231360, 232000, 232640, 233280, 233920, 234560, 235200, 235840, 236480, 237120, 237760, 238400, 239040, 239680]","[2.3021302978515625, 0.6238296569824219, 0.537127670288086, 0.4689849548339844]","[0, 60000, 120000, 180000]"
1,3,64,0.01,tensor(78.9100),"[2.292264938354492, 2.286886692047119, 2.2789406776428223, 2.246018409729004, 2.2173383235931396, 2.249985933303833, 2.2202343940734863, 2.0691003799438477, 2.045640707015991, 1.9388957023620605, 1.9443886280059814, 1.8683942556381226, 1.6645146608352661, 1.721239447593689, 1.5582712888717651, 1.5650396347045898, 1.4360705614089966, 1.436752438545227, 1.4662261009216309, 1.5324220657348633, 1.4635053873062134, 1.2092927694320679, 1.5575891733169556, 1.200606346130371, 1.4516199827194214, 1.2671873569488525, 1.20151948928833, 1.2603983879089355, 1.1293902397155762, 1.2638864517211914, 1.3504362106323242, 1.2650102376937866, 1.267798900604248, 1.286062240600586, 1.0252091884613037, 1.1492805480957031, 1.2254807949066162, 1.2547258138656616, 1.342530369758606, 0.9989337921142578, 1.0744218826293945, 1.1849186420440674, 1.1174997091293335, 0.9918503165245056, 1.1818618774414062, 1.4507038593292236, 1.0924721956253052, 1.106519341468811, 1.0873942375183105, 1.1951830387115479, 0.8868341445922852, 1.180766224861145, 1.0405027866363525, 1.2595447301864624, 0.8703713417053223, 0.8859338164329529, 1.2939915657043457, 1.1810951232910156, 1.0608549118041992, 1.0451267957687378, 1.0037420988082886, 0.9484373331069946, 1.0449227094650269, 1.0201083421707153, 1.0069379806518555, 0.9263970255851746, 0.9431188702583313, 1.1803295612335205, 1.0324299335479736, 0.849076509475708, 1.0593022108078003, 0.880255401134491, 0.6883702278137207, 0.7478955984115601, 0.857937753200531, 0.9415545463562012, 0.9336929321289062, 0.9644145369529724, 0.9780413508415222, 0.9658941030502319, 0.8196842670440674, 0.8658447265625, 1.0396918058395386, 1.0004043579101562, 0.94437575340271, 0.9406551718711853, 1.0146980285644531, 0.6358553171157837, 0.9024556875228882, 0.7564208507537842, 0.9003057479858398, 0.8253084421157837, 0.8150402903556824, 0.8256919384002686, 0.7886536717414856, 1.0813572406768799, 0.8364931344985962, 1.0567058324813843, 0.8851460218429565, 0.8056555390357971, 0.842867374420166, 1.2788710594177246, 0.7677705883979797, 0.7133545875549316, 1.0290852785110474, 1.0128918886184692, 0.7141174077987671, 0.8542817831039429, 0.9502515196800232, 0.8522488474845886, 1.2182718515396118, 0.9135735630989075, 0.6848059892654419, 0.7216272354125977, 0.744970977306366, 1.0210766792297363, 0.7914266586303711, 0.8253657221794128, 1.0609503984451294, 0.8958126306533813, 0.7439005970954895, 0.9872421026229858, 0.7685993313789368, 0.8197410702705383, 0.8826950192451477, 0.7439139485359192, 0.8433141708374023, 0.9514082670211792, 0.7261672019958496, 0.7729504704475403, 0.9450945854187012, 1.1527637243270874, 0.9469885230064392, 0.8001974821090698, 0.9915135502815247, 0.7553824186325073, 0.8638243675231934, 0.6572316288948059, 0.726435661315918, 0.8165916800498962, 0.5151877403259277, 0.5902012586593628, 0.9629416465759277, 0.9177202582359314, 0.7279955148696899, 0.7041703462600708, 0.8623481392860413, 0.5657954812049866, 0.8919357061386108, 0.8137041926383972, 0.7368745803833008, 0.7682176828384399, 0.9190354347229004, 0.8016923666000366, 0.7237224578857422, 0.7100535035133362, 0.7412297129631042, 0.8838773965835571, 0.8393392562866211, 0.8008912801742554, 0.7245428562164307, 0.7545604109764099, 0.9455875158309937, 0.8125345706939697, 0.6702061295509338, 0.5949421525001526, 0.8123024702072144, 0.740880012512207, 0.6591470837593079, 0.9580665826797485, 0.6705400943756104, 0.7808637022972107, 0.8100564479827881, 0.6934451460838318, 0.5926337838172913, 0.7775100469589233, 0.5968992710113525, 0.9524471163749695, 0.7398480772972107, 0.880876898765564, 0.811209499835968, 0.9576160311698914, 0.8357275724411011, 0.798946738243103, 0.7848795056343079, 1.232525110244751, 0.661207377910614, 0.7364570498466492, 0.7852990031242371, 0.8463118672370911, 0.6609739065170288, 0.7958044409751892, 0.7205842733383179, 0.7256298065185547, 0.6181363463401794, 0.6044005751609802, 0.5432379245758057, 0.8002515435218811, 0.5852165222167969, 0.70668625831604, 0.7721561193466187, 0.8612300753593445, 0.6206912994384766, 0.6895838975906372, 0.5822166800498962, 0.7895675897598267, 0.6532582640647888, 0.7306085824966431, 0.6625952124595642, 0.9573419094085693, 0.8676737546920776, 0.7929573059082031, 0.8061489462852478, 0.6401808857917786, 0.5398853421211243, 0.7805630564689636, 0.7956644892692566, 0.7649170756340027, 0.7926582098007202, 0.7349921464920044, 0.8652927279472351, 0.7091367244720459, 0.8173332214355469, 0.770247220993042, 0.6401437520980835, 0.792846143245697, 0.7197113633155823, 0.65891432762146, 0.7483620643615723, 0.7321828603744507, 0.7404475212097168, 0.7794315814971924, 0.6496197581291199, 0.6992160677909851, 0.8125188946723938, 0.5467587113380432, 0.6530407667160034, 0.6650722622871399, 0.8273089528083801, 0.5871227383613586, 0.6299251317977905, 0.6273283958435059, 0.6588930487632751, 0.7417696118354797, 0.4363299012184143, 0.7729498744010925, 0.7079472541809082, 0.8798453211784363, 0.6687252521514893, 0.7946189045906067, 0.8402189016342163, 0.9952202439308167, 0.9705249667167664, 0.8537203669548035, 0.6963634490966797, 0.7409918308258057, 0.5987337827682495, 0.5949485898017883, 0.5986372828483582, 0.739609956741333, 0.7675281763076782, 0.689452588558197, 0.7215242385864258, 0.6694744229316711, 0.5733434557914734, 0.6381497383117676, 0.6091892123222351, 0.8313304781913757, 0.6948736906051636, 0.5413252115249634, 0.6331972479820251, 0.7552024722099304, 0.5558849573135376, 0.6567268371582031, 0.5543032288551331, 0.8013913035392761, 0.8825535178184509, 0.7447655200958252, 0.8099379539489746, 0.6217771172523499, 0.7332803010940552, 0.6070789694786072]","[0, 640, 1280, 1920, 2560, 3200, 3840, 4480, 5120, 5760, 6400, 7040, 7680, 8320, 8960, 9600, 10240, 10880, 11520, 12160, 12800, 13440, 14080, 14720, 15360, 16000, 16640, 17280, 17920, 18560, 19200, 19840, 20480, 21120, 21760, 22400, 23040, 23680, 24320, 24960, 25600, 26240, 26880, 27520, 28160, 28800, 29440, 30080, 30720, 31360, 32000, 32640, 33280, 33920, 34560, 35200, 35840, 36480, 37120, 37760, 38400, 39040, 39680, 40320, 40960, 41600, 42240, 42880, 43520, 44160, 44800, 45440, 46080, 46720, 47360, 48000, 48640, 49280, 49920, 50560, 51200, 51840, 52480, 53120, 53760, 54400, 55040, 55680, 56320, 56960, 57600, 58240, 58880, 59520, 60000, 60640, 61280, 61920, 62560, 63200, 63840, 64480, 65120, 65760, 66400, 67040, 67680, 68320, 68960, 69600, 70240, 70880, 71520, 72160, 72800, 73440, 74080, 74720, 75360, 76000, 76640, 77280, 77920, 78560, 79200, 79840, 80480, 81120, 81760, 82400, 83040, 83680, 84320, 84960, 85600, 86240, 86880, 87520, 88160, 88800, 89440, 90080, 90720, 91360, 92000, 92640, 93280, 93920, 94560, 95200, 95840, 96480, 97120, 97760, 98400, 99040, 99680, 100320, 100960, 101600, 102240, 102880, 103520, 104160, 104800, 105440, 106080, 106720, 107360, 108000, 108640, 109280, 109920, 110560, 111200, 111840, 112480, 113120, 113760, 114400, 115040, 115680, 116320, 116960, 117600, 118240, 118880, 119520, 120000, 120640, 121280, 121920, 122560, 123200, 123840, 124480, 125120, 125760, 126400, 127040, 127680, 128320, 128960, 129600, 130240, 130880, 131520, 132160, 132800, 133440, 134080, 134720, 135360, 136000, 136640, 137280, 137920, 138560, 139200, 139840, 140480, 141120, 141760, 142400, 143040, 143680, 144320, 144960, 145600, 146240, 146880, 147520, 148160, 148800, 149440, 150080, 150720, 151360, 152000, 152640, 153280, 153920, 154560, 155200, 155840, 156480, 157120, 157760, 158400, 159040, 159680, 160320, 160960, 161600, 162240, 162880, 163520, 164160, 164800, 165440, 166080, 166720, 167360, 168000, 168640, 169280, 169920, 170560, 171200, 171840, 172480, 173120, 173760, 174400, 175040, 175680, 176320, 176960, 177600, 178240, 178880, 179520]","[2.3021302978515625, 0.7029103576660156, 0.6108590759277344, 0.5633127014160156]","[0, 60000, 120000, 180000]"
2,3,256,0.01,tensor(72.4700),"[2.298210859298706, 2.2740538120269775, 2.290945529937744, 2.245725393295288, 2.252284288406372, 2.2205333709716797, 2.197509288787842, 2.116058349609375, 2.0777840614318848, 2.0224311351776123, 1.8464384078979492, 1.8066883087158203, 1.6932252645492554, 1.5958189964294434, 1.572024941444397, 1.4607720375061035, 1.4546875953674316, 1.3977595567703247, 1.3085867166519165, 1.3499258756637573, 1.263106107711792, 1.3412173986434937, 1.2855935096740723, 1.2854816913604736, 1.264870047569275, 1.265312910079956, 1.2957556247711182, 1.2369216680526733, 1.1891542673110962, 1.204331398010254, 1.186951756477356, 1.1505401134490967, 1.087457537651062, 1.1665804386138916, 1.1450947523117065, 1.1039319038391113, 1.1181282997131348, 1.1746361255645752, 1.1262770891189575, 1.1554814577102661, 1.1021472215652466, 1.0281682014465332, 1.1440632343292236, 0.9762418866157532, 1.0526660680770874, 0.9452451467514038, 1.0757062435150146, 1.0092724561691284, 1.04891836643219, 0.9963086843490601, 1.0432231426239014, 1.068916916847229, 1.0080286264419556, 1.0590109825134277, 1.1008676290512085, 1.0103920698165894, 0.9336796998977661, 0.8878160119056702, 1.0157873630523682, 0.9402408003807068, 0.9627416133880615, 1.0466922521591187, 0.9609771370887756, 0.9634261727333069, 0.9793111085891724, 1.1987624168395996, 0.9442030191421509, 0.9383618831634521, 0.9031065106391907, 0.9622734189033508, 0.9149959087371826, 0.98218834400177]","[0, 640, 1280, 1920, 2560, 3200, 3840, 4480, 5120, 5760, 6400, 7040, 7680, 8320, 8960, 9600, 10240, 10880, 11520, 12160, 12800, 13440, 14080, 14720, 60000, 60640, 61280, 61920, 62560, 63200, 63840, 64480, 65120, 65760, 66400, 67040, 67680, 68320, 68960, 69600, 70240, 70880, 71520, 72160, 72800, 73440, 74080, 74720, 120000, 120640, 121280, 121920, 122560, 123200, 123840, 124480, 125120, 125760, 126400, 127040, 127680, 128320, 128960, 129600, 130240, 130880, 131520, 132160, 132800, 133440, 134080, 134720]","[2.3021302978515625, 1.0282643127441407, 0.825366943359375, 0.7455196105957032]","[0, 60000, 120000, 180000]"
